,wordnet_entry,translation,status,phrase
480,usa_2_PN,الجَيْش الأَمْرِيكِيّ,translated,1
481,usn_PN,البَحِرِيَّة الأَمْرِيكِيَّة,translated,1
482,utah_PN,يوتا,translated,
483,valenciennes_PN,فالنسيان,translated,
484,venus_1_PN,الزهرة,translated,
485,venus_2_PN,فينوس,translated,
486,venus_3_PN,فينوس,translated,
487,vesper_1_PN,نجم المساء,translated,1
488,vhf_1_PN,الحمى النزفية الفيروسية,translated,1
489,vhf_2_PN,تردد عالي جداً,translated,1
490,victoria_2_PN,فيكتوريا,translated,
491,vietnam_2_PN,فيتنام,translated,
492,virgin_PN,العذراء,translated,
493,virgo_2_PN,العذراء,translated,
494,virgo_3_PN,العذراء,translated,
495,wagon_PN,ميكعة,translated,
496,wain_2_PN,ميكعة,translated,
497,wales_PN,ويلز,translated,
498,washington_2_PN,واشنطن,translated,
499,washington_3_PN,واشنطن,translated,
500,wasp_PN,واسب,translated,
501,waterloo_1_PN,واترلو,translated,
502,waterloo_3_PN,واترلو,translated,
503,wed_PN,أرْبِعاء,translated,
504,who_PN,منظمة الصحة العالمية,translated,1
505,winchester_2_PN,وينتشيستير,translated,
506,windsor_2_PN,آل ويندسور,translated,1
507,wyoming_PN,وايومنغ,translated,
508,yahoo_PN,يَاهُو,translated,
509,yahweh_PN,يهوه,translated,
510,york_PN,يورك,translated,
511,yuan_PN,يوان,translated,
512,yugoslavia_2_PN,يوغوسلافيا,translated,
513,zephyr_2_PN,زيفيروس,translated,
